,0,1,2,3,4,5,6,7,8,9,10,11,season,category,color,release_date,day,week,month,year
0,1.0,7.0,16.0,13.0,14.0,6.0,2.0,3.0,4.0,3.0,3.0,0.0,SS17,long sleeve,grey,2016-12-02,4,48,12,2016
1,1.0,29.0,21.0,16.0,3.0,5.0,4.0,1.0,4.0,0.0,1.0,0.0,SS17,culottes,pattern,2016-12-02,4,48,12,2016
2,1.0,4.0,11.0,12.0,3.0,2.0,3.0,1.0,5.0,3.0,4.0,1.0,SS17,long sleeve,military green,2016-12-03,5,48,12,2016
3,1.0,8.0,15.0,13.0,4.0,15.0,4.0,3.0,4.0,3.0,2.0,1.0,SS17,long sleeve,beige,2016-12-03,5,48,12,2016
4,1.0,12.0,22.0,20.0,8.0,13.0,10.0,7.0,4.0,15.0,27.0,8.0,SS17,long sleeve,pink,2016-12-04,6,48,12,2016
5,1.0,1.0,1.0,1.0,1.0,2.0,0.0,11.0,19.0,15.0,6.0,6.0,SS17,short sleeves,yellow,2016-12-05,0,49,12,2016
6,6.0,13.0,9.0,7.0,7.0,2.0,2.0,1.0,2.0,3.0,1.0,0.0,SS17,long sleeve,pink,2016-12-05,0,49,12,2016
7,17.0,21.0,31.0,13.0,16.0,11.0,5.0,7.0,16.0,17.0,11.0,7.0,SS17,long sleeve,grey,2016-12-05,0,49,12,2016
8,4.0,8.0,6.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,SS17,long sleeve,grey,2016-12-06,1,49,12,2016
9,10.0,15.0,16.0,8.0,19.0,4.0,8.0,6.0,14.0,6.0,6.0,2.0,SS17,long sleeve,beige,2016-12-06,1,49,12,2016
10,10.0,12.0,9.0,11.0,5.0,5.0,7.0,3.0,3.0,4.0,0.0,1.0,SS17,culottes,pattern,2016-12-06,1,49,12,2016
11,17.0,16.0,13.0,17.0,7.0,3.0,6.0,5.0,4.0,11.0,5.0,4.0,SS17,printed,pattern,2016-12-06,1,49,12,2016
12,3.0,2.0,6.0,3.0,3.0,1.0,1.0,29.0,27.0,25.0,11.0,7.0,SS17,short cardigan,yellow,2016-12-07,2,49,12,2016
13,5.0,6.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,SS17,miniskirt,black,2016-12-07,2,49,12,2016
14,2.0,0.0,2.0,2.0,0.0,1.0,0.0,18.0,27.0,23.0,13.0,6.0,SS17,short sleeves,yellow,2016-12-07,2,49,12,2016
15,4.0,10.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,4.0,2.0,0.0,SS17,long sleeve,grey,2016-12-07,2,49,12,2016
16,3.0,8.0,3.0,3.0,5.0,3.0,6.0,3.0,3.0,4.0,2.0,1.0,SS17,long sleeve,yellow,2016-12-07,2,49,12,2016
17,3.0,4.0,7.0,1.0,3.0,0.0,2.0,17.0,33.0,34.0,15.0,10.0,SS17,short sleeves,bordeaux,2016-12-07,2,49,12,2016
18,3.0,4.0,6.0,0.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,SS17,long sleeve,military green,2016-12-08,3,49,12,2016
19,2.0,2.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0,4.0,9.0,3.0,SS17,solid colours,bordeaux,2016-12-08,3,49,12,2016
20,1.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,31.0,20.0,8.0,6.0,SS17,short sleeves,bordeaux,2016-12-08,3,49,12,2016
21,7.0,9.0,24.0,11.0,5.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,SS17,miniskirt,black,2016-12-08,3,49,12,2016
22,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,SS17,long sleeve,yellow,2016-12-08,3,49,12,2016
23,2.0,3.0,4.0,2.0,2.0,0.0,0.0,23.0,43.0,34.0,12.0,12.0,SS17,short cardigan,bordeaux,2016-12-09,4,49,12,2016
24,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,SS17,long sleeve,green,2016-12-09,4,49,12,2016
25,1.0,4.0,8.0,12.0,1.0,3.0,2.0,0.0,2.0,3.0,4.0,0.0,SS17,solid colours,black,2016-12-10,5,49,12,2016
26,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,12.0,6.0,3.0,2.0,SS17,short sleeves,green,2016-12-10,5,49,12,2016
27,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SS17,trapeze dress,pink,2016-12-10,5,49,12,2016
28,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,14.0,SS17,medium coat,black,2016-12-12,0,50,12,2016
29,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,SS17,solid colours,grey,2016-12-12,0,50,12,2016
30,4.0,3.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,SS17,midi skirt,grey,2016-12-12,0,50,12,2016
31,8.0,16.0,18.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,3.0,0.0,SS17,solid colours,black,2016-12-13,1,50,12,2016
32,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,SS17,medium coat,grey,2016-12-13,1,50,12,2016
33,4.0,7.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,1.0,SS17,short sleeves,black,2016-12-13,1,50,12,2016
34,6.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,6.0,3.0,1.0,1.0,SS17,long sleeve,pattern,2016-12-13,1,50,12,2016
35,8.0,15.0,5.0,3.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,SS17,short coat,black,2016-12-13,1,50,12,2016
36,5.0,12.0,11.0,3.0,2.0,2.0,2.0,3.0,6.0,0.0,1.0,1.0,SS17,culottes,black,2016-12-13,1,50,12,2016
37,2.0,1.0,2.0,0.0,0.0,0.0,10.0,17.0,13.0,13.0,5.0,5.0,SS17,short sleeves,green,2016-12-14,2,50,12,2016
38,3.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,13.0,SS17,sleeveless,pink,2016-12-14,2,50,12,2016
39,3.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,SS17,culottes,black,2016-12-14,2,50,12,2016
40,6.0,5.0,12.0,5.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,SS17,solid colours,pink,2016-12-14,2,50,12,2016
41,1.0,2.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,SS17,solid colours,white,2016-12-15,3,50,12,2016
42,2.0,7.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,SS17,sheath dress,black,2016-12-15,3,50,12,2016
43,2.0,0.0,1.0,0.0,0.0,0.0,7.0,6.0,2.0,2.0,0.0,0.0,SS17,sleeveless,beige,2016-12-15,3,50,12,2016
44,1.0,3.0,1.0,1.0,0.0,0.0,5.0,6.0,1.0,7.0,1.0,0.0,SS17,sleeveless,grey,2016-12-15,3,50,12,2016
45,1.0,7.0,11.0,5.0,3.0,3.0,1.0,1.0,9.0,5.0,5.0,8.0,SS17,short sleeves,pattern,2016-12-15,3,50,12,2016
46,1.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,SS17,culottes,black,2016-12-16,4,50,12,2016
47,1.0,6.0,7.0,3.0,3.0,4.0,1.0,3.0,5.0,3.0,0.0,9.0,SS17,long sleeve,black,2016-12-16,4,50,12,2016
48,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,SS17,long sleeve,red,2016-12-17,5,50,12,2016
49,1.0,9.0,10.0,1.0,3.0,1.0,1.0,0.0,4.0,7.0,4.0,3.0,SS17,long dress,pattern,2016-12-17,5,50,12,2016
50,1.0,11.0,13.0,3.0,6.0,9.0,4.0,4.0,9.0,9.0,6.0,3.0,SS17,culottes,black,2016-12-17,5,50,12,2016
51,2.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,SS17,doll dress,pink,2016-12-17,5,50,12,2016
