0,1,2,3,4,5,6,7,8,9,10,11
5.0,78.0,66.0,71.0,49.0,46.0,28.0,21.0,13.0,15.0,11.0,10.0
6.0,117.0,137.0,144.0,88.0,105.0,68.0,56.0,37.0,148.0,170.0,59.0
3.0,221.0,189.0,102.0,44.0,32.0,16.0,7.0,11.0,6.0,3.0,2.0
1.0,47.0,50.0,44.0,30.0,34.0,34.0,25.0,18.0,30.0,22.0,10.0
7.0,105.0,134.0,128.0,73.0,50.0,46.0,37.0,32.0,31.0,36.0,10.0
1.0,171.0,197.0,218.0,118.0,105.0,86.0,57.0,55.0,132.0,142.0,55.0
2.0,93.0,107.0,114.0,66.0,70.0,49.0,27.0,32.0,18.0,17.0,18.0
3.0,59.0,71.0,71.0,31.0,32.0,44.0,28.0,32.0,36.0,27.0,18.0
2.0,84.0,112.0,103.0,86.0,57.0,50.0,27.0,41.0,21.0,36.0,17.0
80.0,80.0,112.0,66.0,22.0,17.0,12.0,7.0,7.0,15.0,17.0,7.0
15.0,15.0,10.0,13.0,7.0,0.0,2.0,13.0,21.0,16.0,16.0,6.0
99.0,110.0,157.0,52.0,86.0,50.0,45.0,57.0,105.0,81.0,47.0,26.0
32.0,35.0,36.0,17.0,18.0,15.0,10.0,15.0,16.0,20.0,11.0,7.0
8.0,7.0,11.0,2.0,7.0,6.0,1.0,13.0,23.0,18.0,7.0,7.0
23.0,23.0,18.0,15.0,5.0,3.0,2.0,23.0,34.0,28.0,15.0,7.0
121.0,148.0,103.0,110.0,68.0,36.0,27.0,41.0,57.0,70.0,42.0,15.0
22.0,36.0,30.0,8.0,10.0,12.0,10.0,23.0,40.0,41.0,18.0,12.0
17.0,28.0,21.0,18.0,7.0,10.0,5.0,36.0,32.0,31.0,11.0,8.0
11.0,37.0,27.0,27.0,13.0,13.0,10.0,30.0,52.0,41.0,13.0,15.0
31.0,31.0,27.0,13.0,12.0,10.0,5.0,11.0,5.0,11.0,1.0,5.0
39.0,57.0,51.0,31.0,37.0,23.0,26.0,16.0,21.0,12.0,17.0,10.0
27.0,37.0,35.0,27.0,21.0,25.0,13.0,15.0,6.0,13.0,8.0,3.0
37.0,47.0,44.0,44.0,11.0,8.0,3.0,10.0,11.0,5.0,10.0,2.0
6.0,3.0,6.0,2.0,0.0,1.0,0.0,2.0,15.0,7.0,3.0,2.0
2.0,12.0,5.0,6.0,6.0,5.0,1.0,8.0,7.0,5.0,11.0,3.0
2.0,2.0,2.0,10.0,5.0,3.0,0.0,6.0,3.0,8.0,5.0,2.0
5.0,15.0,8.0,10.0,3.0,6.0,0.0,15.0,39.0,23.0,10.0,7.0
1.0,5.0,12.0,10.0,3.0,10.0,2.0,8.0,13.0,8.0,17.0,6.0
2.0,44.0,64.0,83.0,17.0,2.0,10.0,10.0,13.0,26.0,17.0,17.0
2.0,28.0,22.0,15.0,2.0,1.0,0.0,7.0,3.0,7.0,3.0,5.0
2.0,44.0,35.0,34.0,11.0,6.0,7.0,2.0,5.0,10.0,10.0,15.0
1.0,13.0,16.0,20.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,6.0
1.0,15.0,16.0,10.0,5.0,3.0,1.0,7.0,7.0,0.0,7.0,1.0
1.0,6.0,6.0,13.0,3.0,1.0,1.0,7.0,6.0,0.0,7.0,1.0
1.0,59.0,66.0,71.0,35.0,12.0,17.0,11.0,15.0,27.0,10.0,11.0
1.0,30.0,42.0,31.0,17.0,13.0,5.0,12.0,11.0,16.0,21.0,8.0
1.0,23.0,54.0,57.0,6.0,5.0,1.0,0.0,2.0,0.0,3.0,6.0
1.0,30.0,46.0,39.0,10.0,7.0,1.0,2.0,6.0,11.0,6.0,6.0
1.0,56.0,83.0,97.0,7.0,10.0,10.0,6.0,5.0,15.0,11.0,12.0
12.0,7.0,1.0,1.0,0.0,1.0,8.0,10.0,3.0,3.0,0.0,1.0
15.0,5.0,15.0,6.0,6.0,0.0,3.0,3.0,12.0,3.0,6.0,17.0
30.0,45.0,61.0,10.0,3.0,3.0,2.0,0.0,8.0,8.0,5.0,16.0
25.0,34.0,69.0,1.0,8.0,3.0,6.0,2.0,15.0,3.0,3.0,3.0
6.0,18.0,31.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,5.0
70.0,114.0,126.0,10.0,15.0,13.0,13.0,7.0,20.0,13.0,16.0,8.0
50.0,69.0,69.0,18.0,6.0,6.0,3.0,18.0,18.0,7.0,8.0,5.0
13.0,17.0,22.0,8.0,0.0,2.0,2.0,6.0,3.0,8.0,2.0,2.0
15.0,12.0,7.0,3.0,1.0,1.0,8.0,7.0,2.0,2.0,0.0,0.0
35.0,26.0,27.0,17.0,8.0,2.0,10.0,10.0,8.0,16.0,15.0,12.0
10.0,3.0,8.0,2.0,2.0,0.0,1.0,5.0,0.0,5.0,10.0,2.0
8.0,23.0,22.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0
1.0,32.0,50.0,7.0,2.0,6.0,6.0,6.0,16.0,8.0,6.0,5.0
